,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
12,12,미국 민속촌에 가보다 【아메리카8】,6시간 전,❄️ Winter Snow Coding in Chicago | 🎧 Lofi Hip-Hop Motivation ,한국이 새로운 리더가 되어 달라. 세계 곳곳 한국처럼 변화. 10년~20년 후 일본의 충격적인 모습. 동남아에 가서 일자리 찾는 일본인들. ,변종,몬스터 스쿨 : 귀멸의 칼날 vs 몬스터 스쿨 모든 시리즈 - 마인크래프트 애니메이션,https://www.youtube.com/watch?v=--XyV3m5rtY
13,13,A매치 후유증 + 자가 격리… 토트넘에 쏟아진 악재 #SPORTSTIME,6시간 전,역사는 2등을 기억하지 않아. l 귀족 자제들의 경합 전날 밤🌙 l 중세시대 공부 ASMR l 집중하기 좋은 저택 앰비언스 ,전세계가 두려워하는 한국 게이머 TOP8 ,바이러스,(따라하는기도시리즈) 영혼이 살아나는 감사기도 / 장재기 목사 [3시간] / 댓글창에 감사한 것 3가지를 기록해 보세요.,https://www.youtube.com/watch?v=kMVvPBf-Czs
14,14,결혼식 당일은 이렇습니다,6시간 전,"""자네가 주임원사인가?""  ★★ 2스타 사단장의 반응 ","(ENG/JPN) [어서와ZIP] 스웨덴 3인방 한우 극찬 ""인생 최고의 고기야"" l  ",초보,초보 운전자들이 가장 많이 하는 질문 5가지,https://www.youtube.com/watch?v=wVzVjbAA3zk
15,15,"김광현, 입지 흔들리나… LAD전 등판 취소→불펜 대기 #SPORTSTIME",8시간 전,★장군들끼리만 있으면 하는 말 (의외의 모습) ,"[해외반응]중국이 미국의 압박에 외국인 인권 탄압이 가능한 법을 제정하려고 하고있다. ""서방 국가들이 경거망동하지 못하도록..."" / ' 한국 또한 예외는 아니다 ' ",감옥,미국 고용 상황 어떻게 볼까…테이퍼링도 연기? (2021.09.06/뉴스투데이/MBC),https://www.youtube.com/watch?v=Sd0_Vn2fFHA
16,16,"홀란드, 데파이 나란히 해트트릭..그리즈만은 멀티골 #SPORTSTIME",11시간 전,★★2스타 사단장도 긴장하는 순간들 (대통령 부대 방문ㄷㄷ) ,“미국 5개국 정보동맹에 한국 포함”…하원 군사위 통과 / KBS 2021.09.03. ,수호신,고등학생의 미국 자취 브이로그 | 미국 일상 브이로그 | 감성 인테리어 [P.2],https://www.youtube.com/watch?v=zMcmxsGvc60
17,17,2인가족을 위한 간지나는 차,17시간 전,푸른거탑 '사단장'을 본 ★★2스타 사단장 반응 ,BLACKPINK 블랙핑크 How You Like That 해외반응 한글자막 2편! 노래 중독성 실화? ,사주,현지 영국 여성 팬들에게 토트넘 최고 존잘남을 물어봤더니ㅋㅋㅋ 손흥민은 몇등일까!? (Feat. 영국 아재) [현지 축터뷰],https://www.youtube.com/watch?v=7BFujZ4xnLg
18,18,"내년말까지 서울 최대 17% 하락 가능성 (김경민 서울대 교수, 하버드 박사)",19시간 전,병사들은 소름 돋는 군대짤을 본 ★★ 2스타 사단장의 반응 ,지읒asmr} 이거 들으면 다른 핀셋소리 못들어. ,해외반응,The $140BN Plan to Change a Nation with Infrastructure,https://www.youtube.com/watch?v=REnxH4EL5Nc
19,19,복근이 생겼습니다! 100일간의 다이어트 운동 후기 with 애플워치 6,19시간 전,군필자가 보면 소름돋는 영상을 본 ★★2스타 사단장 반응 ,호반꿀로 대동단결 ,블랙핑크,(ENG CC) 이렇게 솔직할 줄이야.... 뒷담화 그대로 보여드립니다. [고등학생 간지대회 시즌 2] | Daily Episode l highschoolstyleicon,https://www.youtube.com/watch?v=LfKTneVu0Uo
20,20,회사에서 재미를 추구하면 안 되는 걸까 | 네이버웹툰 개발자 채용설명회,스트리밍 시간: 20시간 전,중대장이 실망한 이유를 본 ★★2스타 사단장 반응 (군대 계급별 특징 장교 편) ,"(일본반응) 한국에 대한 G7 열등감 때문에 선을 넘은 일본, 결국 미국이 일본에게 일침! “부끄러워서 한국인 되고 싶다!” ",해리포터,,
21,21,수능이 붕괴한다? 벼랑 끝에 선 교육시장,20시간 전,ISS through my Telescope (Compilation) ,%ED%95%9C%EA%B5%AD%20%ED%98%84%EB%AC%B4%20%EB%AF%B8%EC%82%AC%EC%9D%BC%20%EC%B4%9D%EA%B3%B5%EA%B2%A9%20vs%20%EC%9D%BC%... ,,,
22,22,Z 플립3의 놀라운 외부 화면 활용도 [4K],20시간 전,Galaxys and Nebulas through my Telescope (Deep Sky Objects) ,한국남자가 강제추행당하는 일본여자를 구해준다면? 일본에서 20년 산 그의 대처법!! ,,,
23,23,해외직구 전자제품 중고로 못 파는 거 알고 계셨나요? 11년만에 불법이 합법으로 되었습니다.,21시간 전,Saturn through my Telescope ,"""미얀마 공동성명에 한국이 아시아 유일하다"" 일본이 빠져있다 일본반응에 외국인들,충격 // ""선진국들만 참여한 거야"" [해외반응] ",,,
24,24,요리사 두명이 캠핑을 가면 만드는 요리 (feat.미친고기양념 레시피),22시간 전,4억 5천만원 망원경으로 하늘을 봤더니... ,강남 샵에서 헤어 메이크업을 받아볼게  ,,,
25,25,"7 HOUR STUDY WITH ME | Background noise, Rain Sound, 10-min Break, No music, Study with Merve",22시간 전,12인치 돕소니안 천체망원경으로 목성 토성 달 관측 ,Tom Clancy's The Division 'goutoubaobao' hack user 더디비전 핵유저 신고용영상-01 ,,,
26,26,"물리 엔진과 게임 스토리텔링, 임어당의 한자 타자기, 거함·거포 시대의 종말",22시간 전,[목성의 위성] 갈릴레이 위성을 줌(Zoom)으로 당겨보았습니다 Nikon P1000_Zoom Galiean Moons_Ganymede_Io_Europa_Callisto_KOREA ,[해외반응] 블랙핑크 미국방송 PRETTY SAVAGE 라이브무대 리액션 모음  [한글자막](재업) ,,,
27,27,[과학자가 쓴 과학책#13] 고재현 _빛으로 보는 세상 | 빛의 핵심,22시간 전,"[못믿겠다해서 동영상으로 찍었음]토성, 목성, 달을 땡겨보면 정말 그 자리에 있을까? l Nikon P1000_Moon Saturn Jupiter Zoom Planet ",해외직구 전자제품 중고로 못 파는 거 알고 계셨나요? 11년만에 불법이 합법으로 되었습니다. ,,,
28,28,오타니 vs 다르빗슈 맞대결 드디어 성사 가능성은 #SPORTSTIME,22시간 전,고도 1100미터 조경철 천문대에 다녀왔습니다!! ,ASMR 동생 메이크업 지워주기 롤플레이 Remove makeup Roleplay (한국어) ,,,
29,29,The $140BN Plan to Change a Nation with Infrastructure,22시간 전,10만원 망원경으로 성운촬영이 가능할까? 게다가 서울 -_-;; ,"영국리그 1위 만든 손흥민, 중계카메라에 잡힌 '한 장면' 때문에 영국전역을 감동시킨 이유 ",,,
30,30,호반꿀로 대동단결,22시간 전,"10만원으로 천체관측하기(달,토성 어포컬촬영) ",한국 와이프에게 소련 무기를 쥐어주면 일어나는 참사 ㄷㄷ ,,,
31,31,"김광현, 입지 흔들리나… LAD전 등판 취소→불펜 대기/ 19시 스포츠타임 뉴스 LIVE",스트리밍 시간: 23시간 전,1월24일 현재 20만원이내 가성비 추천망원경! F900X80AZ ,BMW%203%EC%8B%9C%EB%A6%AC%EC%A6%88%20%EC%B6%9C%EA%B3%A0%EC%84%A4%EB%AA%85%20%EC%98%81%EC%83%81%20Vehicle%20Forwarding... ,,,
32,32,나이 24살 l 3룸 매매해서 자취해요 l 몇평이에요? 모르겠는데요;; l 인천 부평 편 l,23시간 전,병사들은 소름 돋는 군대 짤을 본 ★★ 2스타 사단장의 반응 (2탄) ,"""이래서 일본이 한국을 이길 수 없구나..."" 한국과 비교되는 일본 OO 문화에 경악한 외국인 반응 [해외반응] ",,,
33,33,,,군대 계급별 특징을 본 ★★2스타 사단장 반응 (부사관 편) ,오타니 vs 다르빗슈 맞대결 드디어 성사 가능성은  ,,,
34,34,,,Morning Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,신생아를 처음 본 강아지의 반응! ,,,
35,35,,,초고속 팅글 ASMR ,K-POP Junkie / 노래방 날라리  (Troublemaker parody) ,,,
36,36,,,ASMR 립스틱 메이크업 가게💄Lipstick Make-up Shop asmr (SUB ✔) ,ASMR - 2분 안에 100가지 트리거 | 빠른 asmr | 100 triggers in 2 minutes | 탭핑 | tapping | fast ASMR ,,,
37,37,,,전쟁이 일어나면 ★장군들이 하는 일 ,최근 한국인들이 전세계 각종기록들 모두 휩쓸어버리고있는 이유 ,,,
38,38,,,장군이 되면 받는 놀라운 혜택들 (연봉 ㄷㄷ) ,[희소식] 유전성 혈관부종을 위한 예방약이 있나요? | 유전성 혈관부종 | 치료 2화 ,,,
39,39,,,군필만 이해한다는 소름돋는 짤을 본 ★★2스타 사단장 ,"의사 사주, 부자 사주, 처복 많은 병술 일주 - 피클의 행복한 명리 ",,,
40,40,,,국정원 요원이 받는 비밀스런 훈련들(관상보는 훈련) ,삼겹살에 치즈김치볶음밥 처음 먹어본 영국 고등학생들의 반응!? ,,,
